,NAME,comorb,Proportion,Year
51,Alaska,1,7.121661721,2006
52,Alaska,2,10.43956044,2006
53,Alaska,3,10.07751938,2006
54,Alaska,4,12.24489796,2006
0,Alaska,5,21.42857143,2006
55,Alabama,1,5.78778135,2006
56,Alabama,2,5.263157895,2006
57,Alabama,3,8.620689655,2006
58,Alabama,4,12.24489796,2006
1,Alabama,5,19.60784314,2006
59,Arkansas,1,5.281690141,2006
60,Arkansas,2,5.084745763,2006
61,Arkansas,3,9.154929577,2006
62,Arkansas,4,20,2006
2,Arkansas,5,20.40816327,2006
63,Arizona,1,9.342560554,2006
64,Arizona,2,9.961685824,2006
65,Arizona,3,6.428571429,2006
66,Arizona,4,23.52941176,2006
3,Arizona,5,28.57142857,2006
67,California,1,10.15625,2006
68,California,2,9.854014599,2006
69,California,3,10.65088757,2006
70,California,4,25,2006
4,California,5,32,2006
71,Colorado,1,5.373134328,2006
72,Colorado,2,9.677419355,2006
73,Colorado,3,7.518796992,2006
74,Colorado,4,7.317073171,2006
5,Colorado,5,24.13793103,2006
75,Connecticut,1,7.954545455,2006
76,Connecticut,2,5.964912281,2006
77,Connecticut,3,9.166666667,2006
78,Connecticut,4,16.66666667,2006
6,Connecticut,5,20.58823529,2006
79,Washington DC,1,7.076923077,2006
80,Washington DC,2,8.606557377,2006
81,Washington DC,3,11.18881119,2006
82,Washington DC,4,15.51724138,2006
7,Washington DC,5,11.76470588,2006
83,Delaware,1,4,2006
84,Delaware,2,4,2006
85,Delaware,3,10.76923077,2006
86,Delaware,4,13.7254902,2006
8,Delaware,5,30.23255814,2006
87,Florida,1,7.121661721,2006
88,Florida,2,10.13824885,2006
89,Florida,3,8.955223881,2006
90,Florida,4,22.4137931,2006
9,Florida,5,23.21428571,2006
91,Georgia,1,4.142011834,2006
92,Georgia,2,7.407407407,2006
93,Georgia,3,9.923664122,2006
94,Georgia,4,20.40816327,2006
10,Georgia,5,21.875,2006
95,Hawaii,1,4.207119741,2006
96,Hawaii,2,8.333333333,2006
97,Hawaii,3,11.27819549,2006
98,Hawaii,4,18.18181818,2006
11,Hawaii,5,33.33333333,2006
99,Iowa,1,3.535353535,2006
100,Iowa,2,4.186046512,2006
101,Iowa,3,5.607476636,2006
102,Iowa,4,8.695652174,2006
12,Iowa,5,15.15151515,2006
103,Idaho,1,4.761904762,2006
104,Idaho,2,6.334841629,2006
105,Idaho,3,13.95348837,2006
106,Idaho,4,18.36734694,2006
13,Idaho,5,17.39130435,2006
107,Illinois,1,6.720430108,2006
108,Illinois,2,7.327586207,2006
109,Illinois,3,7.894736842,2006
110,Illinois,4,20.68965517,2006
14,Illinois,5,14.28571429,2006
111,Indiana,1,6.325301205,2006
112,Indiana,2,8.527131783,2006
113,Indiana,3,9.74025974,2006
114,Indiana,4,15.09433962,2006
15,Indiana,5,5.555555556,2006
115,Kansas,1,3.833865815,2006
116,Kansas,2,5,2006
117,Kansas,3,6.818181818,2006
118,Kansas,4,10.34482759,2006
16,Kansas,5,14.70588235,2006
119,Kentucky,1,3.322259136,2006
120,Kentucky,2,4.905660377,2006
121,Kentucky,3,6.194690265,2006
122,Kentucky,4,12.30769231,2006
17,Kentucky,5,20,2006
123,Louisiana,1,5.426356589,2006
124,Louisiana,2,7.486631016,2006
125,Louisiana,3,7.627118644,2006
126,Louisiana,4,10.41666667,2006
18,Louisiana,5,20,2006
127,Massachusetts,1,5.263157895,2006
128,Massachusetts,2,7.174887892,2006
129,Massachusetts,3,7.971014493,2006
130,Massachusetts,4,13.33333333,2006
19,Massachusetts,5,19.04761905,2006
131,Maryland,1,5.341246291,2006
132,Maryland,2,9.090909091,2006
133,Maryland,3,9.022556391,2006
134,Maryland,4,12.72727273,2006
20,Maryland,5,27.77777778,2006
135,Maine,1,4.180064309,2006
136,Maine,2,3.543307087,2006
137,Maine,3,10,2006
138,Maine,4,10.34482759,2006
21,Maine,5,12.24489796,2006
139,Michigan,1,3.738317757,2006
140,Michigan,2,5.042016807,2006
141,Michigan,3,10.56338028,2006
142,Michigan,4,14.70588235,2006
22,Michigan,5,16,2006
143,Minnesota,1,3.448275862,2006
144,Minnesota,2,6.060606061,2006
145,Minnesota,3,11.34020619,2006
146,Minnesota,4,10,2006
23,Minnesota,5,19.35483871,2006
147,Missouri,1,4.838709677,2006
148,Missouri,2,6.324110672,2006
149,Missouri,3,13.00813008,2006
150,Missouri,4,12,2006
24,Missouri,5,21.62162162,2006
151,Mississippi,1,5.846153846,2006
152,Mississippi,2,7.798165138,2006
153,Mississippi,3,10.1010101,2006
154,Mississippi,4,10.76923077,2006
25,Mississippi,5,16.36363636,2006
155,Montana,1,7.788161994,2006
156,Montana,2,8.076923077,2006
157,Montana,3,11.40350877,2006
158,Montana,4,12.72727273,2006
26,Montana,5,34.09090909,2006
159,North Carolina,1,6.325301205,2006
160,North Carolina,2,4.417670683,2006
161,North Carolina,3,14.14141414,2006
162,North Carolina,4,5.882352941,2006
27,North Carolina,5,23.07692308,2006
163,North Dakota,1,5.221932115,2006
164,North Dakota,2,3.738317757,2006
165,North Dakota,3,9.090909091,2006
166,North Dakota,4,15.55555556,2006
28,North Dakota,5,13.04347826,2006
167,Nebraska,1,2.071005917,2006
168,Nebraska,2,6.85483871,2006
169,Nebraska,3,10.43478261,2006
170,Nebraska,4,9.523809524,2006
29,Nebraska,5,24.13793103,2006
171,New Hampshire,1,6.336088154,2006
172,New Hampshire,2,5.769230769,2006
173,New Hampshire,3,7.627118644,2006
174,New Hampshire,4,13.04347826,2006
30,New Hampshire,5,8.108108108,2006
175,New Jersey,1,7.961783439,2006
176,New Jersey,2,8.661417323,2006
177,New Jersey,3,9.027777778,2006
178,New Jersey,4,14.54545455,2006
31,New Jersey,5,26.19047619,2006
179,New Mexico,1,6.08974359,2006
180,New Mexico,2,6.896551724,2006
181,New Mexico,3,13.41463415,2006
182,New Mexico,4,17.54385965,2006
32,New Mexico,5,31.25,2006
183,Nevada,1,10.63122924,2006
184,Nevada,2,11.91489362,2006
185,Nevada,3,16.52892562,2006
186,Nevada,4,26,2006
33,Nevada,5,36.36363636,2006
187,New York ,1,4.210526316,2006
188,New York ,2,9.6069869,2006
189,New York ,3,8.510638298,2006
190,New York ,4,15.15151515,2006
34,New York ,5,20,2006
191,Ohio,1,4.335260116,2006
192,Ohio,2,5.485232068,2006
193,Ohio,3,6.535947712,2006
194,Ohio,4,11.32075472,2006
35,Ohio,5,18.75,2006
195,Oklahoma,1,7.169811321,2006
196,Oklahoma,2,8.396946565,2006
197,Oklahoma,3,14.56953642,2006
198,Oklahoma,4,17.91044776,2006
36,Oklahoma,5,22.80701754,2006
199,Oregon,1,7.807807808,2006
200,Oregon,2,7.834101382,2006
201,Oregon,3,15.83333333,2006
202,Oregon,4,25,2006
37,Oregon,5,33.33333333,2006
203,Pennsylvania,1,3.691275168,2006
204,Pennsylvania,2,7.849829352,2006
205,Pennsylvania,3,12.34567901,2006
206,Pennsylvania,4,8.333333333,2006
38,Pennsylvania,5,22,2006
207,Rhode Island,1,4.615384615,2006
208,Rhode Island,2,5.944055944,2006
209,Rhode Island,3,7.692307692,2006
210,Rhode Island,4,14.0625,2006
39,Rhode Island,5,21.875,2006
211,South Carolina,1,4.105571848,2006
212,South Carolina,2,6.329113924,2006
213,South Carolina,3,5.405405405,2006
214,South Carolina,4,15.87301587,2006
40,South Carolina,5,16.66666667,2006
215,South Dakota,1,4.748603352,2006
216,South Dakota,2,5.691056911,2006
217,South Dakota,3,11.30434783,2006
218,South Dakota,4,8.888888889,2006
41,South Dakota,5,19.23076923,2006
219,Tennessee,1,4.281345566,2006
220,Tennessee,2,6.329113924,2006
221,Tennessee,3,10.07751938,2006
222,Tennessee,4,13.04347826,2006
42,Tennessee,5,20,2006
223,Texas,1,4.733727811,2006
224,Texas,2,3.6,2006
225,Texas,3,16.54135338,2006
226,Texas,4,20.28985507,2006
43,Texas,5,36.36363636,2006
227,Utah,1,6.557377049,2006
228,Utah,2,9.913793103,2006
229,Utah,3,9.756097561,2006
230,Utah,4,23.52941176,2006
44,Utah,5,26.66666667,2006
231,Virginia,1,6.230529595,2006
232,Virginia,2,6.172839506,2006
233,Virginia,3,8.928571429,2006
234,Virginia,4,12.5,2006
45,Virginia,5,21.56862745,2006
235,Vermont,1,3.235294118,2006
236,Vermont,2,6.161137441,2006
237,Vermont,3,8.064516129,2006
238,Vermont,4,19.56521739,2006
46,Vermont,5,18,2006
239,Washington,1,7.932011331,2006
240,Washington,2,7.203389831,2006
241,Washington,3,13.60544218,2006
242,Washington,4,19.23076923,2006
47,Washington,5,15.78947368,2006
243,Wisconsin,1,3.403141361,2006
244,Wisconsin,2,7.063197026,2006
245,Wisconsin,3,11.11111111,2006
246,Wisconsin,4,10.86956522,2006
48,Wisconsin,5,25,2006
247,West Virginia,1,3.649635037,2006
248,West Virginia,2,6.048387097,2006
249,West Virginia,3,9.523809524,2006
250,West Virginia,4,18.30985915,2006
49,West Virginia,5,22.72727273,2006
251,Wyoming,1,3.780068729,2006
252,Wyoming,2,4.366812227,2006
253,Wyoming,3,12.83783784,2006
254,Wyoming,4,16.17647059,2006
50,Wyoming,5,19.14893617,2006
1,Alaska,1,17.53926702,2010
1,Alaska,2,19.13875598,2010
1,Alaska,3,24.77876106,2010
1,Alaska,4,32.5,2010
1,Alaska,5,32.25806452,2010
2,Alabama,1,7.648725212,2010
2,Alabama,2,12.38938053,2010
2,Alabama,3,13.91304348,2010
2,Alabama,4,31.25,2010
2,Alabama,5,40.47619048,2010
3,Arkansas,1,9.907120743,2010
3,Arkansas,2,20.44444444,2010
3,Arkansas,3,23.30827068,2010
3,Arkansas,4,44.44444444,2010
3,Arkansas,5,50,2010
4,Arizona,1,16.14730878,2010
4,Arizona,2,21.00840336,2010
4,Arizona,3,28.44827586,2010
4,Arizona,4,48.8372093,2010
4,Arizona,5,46.15384615,2010
5,California,1,18.03278689,2010
5,California,2,18.69158879,2010
5,California,3,32.38095238,2010
5,California,4,43.90243902,2010
5,California,5,44.44444444,2010
6,Colorado,1,20.71611253,2010
6,Colorado,2,20.56074766,2010
6,Colorado,3,30.55555556,2010
6,Colorado,4,40.625,2010
6,Colorado,5,57.14285714,2010
7,Connecticut,1,14.21052632,2010
7,Connecticut,2,12.20657277,2010
7,Connecticut,3,20.3125,2010
7,Connecticut,4,31.25,2010
7,Connecticut,5,16.12903226,2010
8,Washington DC,1,13.63636364,2010
8,Washington DC,2,13.30275229,2010
8,Washington DC,3,19.04761905,2010
8,Washington DC,4,21.62162162,2010
8,Washington DC,5,33.33333333,2010
9,Delaware,1,6.824925816,2010
9,Delaware,2,9.163346614,2010
9,Delaware,3,13.49206349,2010
9,Delaware,4,31.81818182,2010
9,Delaware,5,47.82608696,2010
10,Florida,1,18.96955504,2010
10,Florida,2,23.27586207,2010
10,Florida,3,31.25,2010
10,Florida,4,42.22222222,2010
10,Florida,5,54.16666667,2010
11,Georgia,1,12.40310078,2010
11,Georgia,2,14.16309013,2010
11,Georgia,3,20.66115702,2010
11,Georgia,4,41.66666667,2010
11,Georgia,5,47.5,2010
12,Hawaii,1,8.142493639,2010
12,Hawaii,2,11.11111111,2010
12,Hawaii,3,25.96153846,2010
12,Hawaii,4,33.33333333,2010
12,Hawaii,5,48.88888889,2010
13,Iowa,1,7.209302326,2010
13,Iowa,2,9.433962264,2010
13,Iowa,3,19.14893617,2010
13,Iowa,4,32.25806452,2010
13,Iowa,5,19.35483871,2010
14,Idaho,1,17.51269036,2010
14,Idaho,2,18.51851852,2010
14,Idaho,3,17.39130435,2010
14,Idaho,4,41.66666667,2010
14,Idaho,5,36.84210526,2010
15,Illinois,1,15.52941176,2010
15,Illinois,2,14.50777202,2010
15,Illinois,3,29.16666667,2010
15,Illinois,4,27.27272727,2010
15,Illinois,5,30.3030303,2010
16,Indiana,1,12.35955056,2010
16,Indiana,2,18.5483871,2010
16,Indiana,3,20,2010
16,Indiana,4,38.70967742,2010
16,Indiana,5,35.71428571,2010
17,Kansas,1,11.9047619,2010
17,Kansas,2,13.5371179,2010
17,Kansas,3,19.13043478,2010
17,Kansas,4,20,2010
17,Kansas,5,26.66666667,2010
18,Kentucky,1,12.38390093,2010
18,Kentucky,2,10.88709677,2010
18,Kentucky,3,14.4,2010
18,Kentucky,4,25.71428571,2010
18,Kentucky,5,33.89830508,2010
19,Louisiana,1,11.57024793,2010
19,Louisiana,2,15.78947368,2010
19,Louisiana,3,18.69918699,2010
19,Louisiana,4,35.71428571,2010
19,Louisiana,5,28.57142857,2010
20,Massachusetts,1,12.77777778,2010
20,Massachusetts,2,14.34782609,2010
20,Massachusetts,3,11.47540984,2010
20,Massachusetts,4,30.76923077,2010
20,Massachusetts,5,32.43243243,2010
21,Maryland,1,11.8556701,2010
21,Maryland,2,13.30049261,2010
21,Maryland,3,18.79699248,2010
21,Maryland,4,32,2010
21,Maryland,5,46.66666667,2010
22,Maine,1,11.98910082,2010
22,Maine,2,10.0877193,2010
22,Maine,3,17.5257732,2010
22,Maine,4,17.64705882,2010
22,Maine,5,25.80645161,2010
23,Michigan,1,13.35227273,2010
23,Michigan,2,14.39688716,2010
23,Michigan,3,19.41747573,2010
23,Michigan,4,28.57142857,2010
23,Michigan,5,45,2010
24,Minnesota,1,8.591885442,2010
24,Minnesota,2,12.5,2010
24,Minnesota,3,17.20430108,2010
24,Minnesota,4,31.25,2010
24,Minnesota,5,40.625,2010
25,Missouri,1,10.4109589,2010
25,Missouri,2,16.73640167,2010
25,Missouri,3,27.18446602,2010
25,Missouri,4,34.14634146,2010
25,Missouri,5,43.18181818,2010
26,Mississippi,1,14.24418605,2010
26,Mississippi,2,17.88990826,2010
26,Mississippi,3,28.57142857,2010
26,Mississippi,4,43.18181818,2010
26,Mississippi,5,40.81632653,2010
27,Montana,1,18.49865952,2010
27,Montana,2,19.2139738,2010
27,Montana,3,30.18867925,2010
27,Montana,4,31.70731707,2010
27,Montana,5,44.82758621,2010
28,North Carolina,1,12.87671233,2010
28,North Carolina,2,10.8490566,2010
28,North Carolina,3,24.08759124,2010
28,North Carolina,4,32.55813953,2010
28,North Carolina,5,40.38461538,2010
29,North Dakota,1,9.223300971,2010
29,North Dakota,2,10.86956522,2010
29,North Dakota,3,17.5257732,2010
29,North Dakota,4,20.68965517,2010
29,North Dakota,5,31.03448276,2010
30,Nebraska,1,11.47959184,2010
30,Nebraska,2,11.11111111,2010
30,Nebraska,3,17.85714286,2010
30,Nebraska,4,51.51515152,2010
30,Nebraska,5,33.33333333,2010
31,New Hampshire,1,7.065217391,2010
31,New Hampshire,2,12.21719457,2010
31,New Hampshire,3,17.94871795,2010
31,New Hampshire,4,47.05882353,2010
31,New Hampshire,5,36,2010
32,New Jersey,1,17.78425656,2010
32,New Jersey,2,16.96428571,2010
32,New Jersey,3,22.32142857,2010
32,New Jersey,4,25,2010
32,New Jersey,5,45.76271186,2010
33,New Mexico,1,18.92655367,2010
33,New Mexico,2,18.8,2010
33,New Mexico,3,20.51282051,2010
33,New Mexico,4,44.44444444,2010
33,New Mexico,5,52.77777778,2010
34,Nevada,1,18.98016997,2010
34,Nevada,2,24.56140351,2010
34,Nevada,3,32.03883495,2010
34,Nevada,4,45.45454545,2010
34,Nevada,5,60.46511628,2010
35,New York ,1,15.18324607,2010
35,New York ,2,16.03375527,2010
35,New York ,3,25.37313433,2010
35,New York ,4,27.08333333,2010
35,New York ,5,28.57142857,2010
36,Ohio,1,12.4668435,2010
36,Ohio,2,12.6984127,2010
36,Ohio,3,17.30769231,2010
36,Ohio,4,25.64102564,2010
36,Ohio,5,30,2010
37,Oklahoma,1,13.33333333,2010
37,Oklahoma,2,15.2,2010
37,Oklahoma,3,22.13114754,2010
37,Oklahoma,4,36.53846154,2010
37,Oklahoma,5,51.42857143,2010
38,Oregon,1,18.26923077,2010
38,Oregon,2,23.26732673,2010
38,Oregon,3,31.03448276,2010
38,Oregon,4,44.82758621,2010
38,Oregon,5,48.64864865,2010
39,Pennsylvania,1,9.523809524,2010
39,Pennsylvania,2,9.958506224,2010
39,Pennsylvania,3,16.36363636,2010
39,Pennsylvania,4,28.57142857,2010
39,Pennsylvania,5,35.71428571,2010
40,Rhode Island,1,10.78717201,2010
40,Rhode Island,2,10.40723982,2010
40,Rhode Island,3,19.16666667,2010
40,Rhode Island,4,29.54545455,2010
40,Rhode Island,5,39.47368421,2010
41,South Carolina,1,14.62765957,2010
41,South Carolina,2,15.78947368,2010
41,South Carolina,3,10.47619048,2010
41,South Carolina,4,30.76923077,2010
41,South Carolina,5,36.58536585,2010
42,South Dakota,1,12.03007519,2010
42,South Dakota,2,18.71921182,2010
42,South Dakota,3,17.47572816,2010
42,South Dakota,4,27.77777778,2010
42,South Dakota,5,40,2010
43,Tennessee,1,10.51282051,2010
43,Tennessee,2,11.29707113,2010
43,Tennessee,3,17.27272727,2010
43,Tennessee,4,31.81818182,2010
43,Tennessee,5,47.91666667,2010
44,Texas,1,13.98416887,2010
44,Texas,2,15.73033708,2010
44,Texas,3,30.25210084,2010
44,Texas,4,31.48148148,2010
44,Texas,5,42.37288136,2010
45,Utah,1,17.56097561,2010
45,Utah,2,23.14814815,2010
45,Utah,3,32.95454545,2010
45,Utah,4,53.84615385,2010
45,Utah,5,25,2010
46,Virginia,1,12.73712737,2010
46,Virginia,2,10.14492754,2010
46,Virginia,3,16.66666667,2010
46,Virginia,4,37.77777778,2010
46,Virginia,5,23.91304348,2010
47,Vermont,1,6.818181818,2010
47,Vermont,2,14.90384615,2010
47,Vermont,3,14,2010
47,Vermont,4,22.22222222,2010
47,Vermont,5,40,2010
48,Washington,1,13.90243902,2010
48,Washington,2,16.50943396,2010
48,Washington,3,21.27659574,2010
48,Washington,4,35.29411765,2010
48,Washington,5,62.06896552,2010
49,Wisconsin,1,12.10653753,2010
49,Wisconsin,2,17.54385965,2010
49,Wisconsin,3,24.3902439,2010
49,Wisconsin,4,28.57142857,2010
49,Wisconsin,5,38.70967742,2010
50,West Virginia,1,10.0286533,2010
50,West Virginia,2,13.15789474,2010
50,West Virginia,3,18.01801802,2010
50,West Virginia,4,38.29787234,2010
50,West Virginia,5,56.52173913,2010
51,Wyoming,1,14.92957746,2010
51,Wyoming,2,14.16666667,2010
51,Wyoming,3,21.78217822,2010
51,Wyoming,4,33.33333333,2010
51,Wyoming,5,36.36363636,2010